Expert_ID,Domain,Onboarding_Days,Tasks_Assigned,Tasks_Completed,Quality_Score,Hourly_Cost,Completion Rate % (Tasks_Completed/Tasks_Assigned),Cost per Task (Hourly_Cost / Tasks_Completed),Productivity (Tasks_Completed / Onboarding_Days),Quality Index = Completion Rate × Quality_Score,Performance Tier,"Quality Index > 4.0 ? Top Performer
3.2–4.0 ? Solid Performer
<3.2 ? At Risk"
E026,Legal,4,34,29,3.9,57,85.29,1.97,7.25,3.33,Solid Performer,
E027,Legal,5,53,45,4.05,50,84.91,1.11,9,3.44,Solid Performer,
E028,Healthcare,3,41,29,4.25,45,70.73,1.55,9.67,3.01,At Risk,
E029,Education,3,53,35,4.41,36,66.04,1.03,11.67,2.91,At Risk,
E030,Coding,3,52,38,4.86,44,73.08,1.16,12.67,3.55,Solid Performer,
E031,Healthcare,2,41,32,4.33,51,78.05,1.59,16,3.38,Solid Performer,
E032,Coding,2,40,30,3.86,47,75,1.57,15,2.9,At Risk,
E033,Education,4,31,26,4.3,35,83.87,1.35,6.5,3.61,Solid Performer,
E034,Finance,3,35,30,4.79,43,85.71,1.43,10,4.11,Top Performer,
E035,Legal,5,32,28,4.02,56,87.5,2,5.6,3.52,Solid Performer,
E036,Coding,2,30,23,4.28,49,76.67,2.13,11.5,3.28,Solid Performer,
E037,Finance,2,54,36,4.89,49,66.67,1.36,18,3.26,Solid Performer,
E038,Legal,6,45,40,4.33,50,88.89,1.25,6.67,3.85,Solid Performer,
E039,Healthcare,2,45,42,4.34,51,93.33,1.21,21,4.05,Top Performer,
E040,Finance,2,32,27,4.77,43,84.38,1.59,13.5,4.02,Top Performer,
E041,Finance,3,49,33,3.74,45,67.35,1.36,11,2.52,At Risk,
E042,Coding,3,32,24,4.91,50,75,2.08,8,3.68,Solid Performer,
E043,Education,4,43,35,4.54,43,81.4,1.23,8.75,3.7,Solid Performer,
E044,Coding,2,33,23,3.99,45,69.7,1.96,11.5,2.78,At Risk,
E045,Legal,4,30,24,4.26,55,80,2.29,6,3.41,Solid Performer,
E046,Education,3,51,47,4.15,39,92.16,0.83,15.67,3.82,Solid Performer,
E047,Finance,3,44,35,3.79,42,79.55,1.2,11.67,3.01,At Risk,
E048,Coding,2,46,30,4.99,46,65.22,1.53,15,3.25,Solid Performer,
E049,Legal,4,34,31,4.14,54,91.18,1.74,7.75,3.77,Solid Performer,
E050,Legal,4,49,36,4.08,56,73.47,1.56,9,3,At Risk,
E051,Finance,3,32,22,4.34,45,68.75,2.05,7.33,2.98,At Risk,
E052,Healthcare,2,37,24,3.81,50,64.86,2.08,12,2.47,At Risk,
E053,Healthcare,2,39,35,4.61,45,89.74,1.29,17.5,4.14,Top Performer,
E054,Finance,2,51,38,3.94,46,74.51,1.21,19,2.94,At Risk,
E055,Healthcare,2,47,42,4.87,54,89.36,1.29,21,4.35,Top Performer,
E056,Finance,3,42,29,3.61,42,69.05,1.45,9.67,2.49,At Risk,
E057,Coding,3,31,24,4.51,44,77.42,1.83,8,3.49,Solid Performer,
E058,Finance,3,51,42,3.55,43,82.35,1.02,14,2.92,At Risk,
E059,Healthcare,3,44,33,3.69,45,75,1.36,11,2.77,At Risk,
E060,Education,4,41,38,4.19,40,92.68,1.05,9.5,3.88,Solid Performer,
E061,Education,4,49,37,4.55,42,75.51,1.14,9.25,3.44,Solid Performer,
E062,Coding,3,42,39,4.57,44,92.86,1.13,13,4.24,Top Performer,
E063,Finance,3,48,37,3.62,44,77.08,1.19,12.33,2.79,At Risk,
E064,Healthcare,2,52,40,4.53,45,76.92,1.13,20,3.48,Solid Performer,
E065,Healthcare,3,30,23,3.86,50,76.67,2.17,7.67,2.96,At Risk,
E066,Finance,3,42,30,4.93,46,71.43,1.53,10,3.52,Solid Performer,
E067,Education,4,52,34,4.35,37,65.38,1.09,8.5,2.84,At Risk,
E068,Education,4,54,40,3.64,35,74.07,0.88,10,2.7,At Risk,
E069,Coding,2,41,26,4.65,46,63.41,1.77,13,2.95,At Risk,
E070,Coding,2,34,26,4.42,46,76.47,1.77,13,3.38,Solid Performer,
E071,Coding,3,49,37,4.44,51,75.51,1.38,12.33,3.35,Solid Performer,
E072,Finance,3,34,29,4.42,46,85.29,1.59,9.67,3.77,Solid Performer,
E073,Healthcare,2,49,40,4.08,45,81.63,1.13,20,3.33,Solid Performer,
E074,Finance,2,48,43,4.44,40,89.58,0.93,21.5,3.98,Solid Performer,
E075,Finance,3,39,27,3.91,41,69.23,1.52,9,2.71,At Risk,
E076,Education,3,47,40,3.61,42,85.11,1.05,13.33,3.07,At Risk,
E077,Education,4,39,25,4.72,43,64.1,1.72,6.25,3.03,At Risk,
E078,Coding,3,50,37,4.9,49,74,1.32,12.33,3.63,Solid Performer,
E079,Coding,2,50,47,4.32,46,94,0.98,23.5,4.06,Top Performer,
E080,Finance,3,32,30,4.12,41,93.75,1.37,10,3.86,Solid Performer,
E081,Finance,2,53,48,4.34,40,90.57,0.83,24,3.93,Solid Performer,
E082,Education,3,54,38,4.07,35,70.37,0.92,12.67,2.86,At Risk,
E083,Coding,3,54,40,4.84,42,74.07,1.05,13.33,3.58,Solid Performer,
E084,Coding,3,38,34,4.03,45,89.47,1.32,11.33,3.61,Solid Performer,
E085,Legal,5,44,29,3.64,58,65.91,2,5.8,2.4,At Risk,
E086,Coding,2,50,43,4.69,50,86,1.16,21.5,4.03,Top Performer,
E087,Education,3,39,36,4.99,44,92.31,1.22,12,4.61,Top Performer,
E088,Education,3,52,42,4.56,43,80.77,1.02,14,3.68,Solid Performer,
E089,Healthcare,3,41,37,4.76,52,90.24,1.41,12.33,4.3,Top Performer,
E090,Healthcare,2,47,43,3.72,49,91.49,1.14,21.5,3.4,Solid Performer,
E091,Legal,4,30,27,3.86,56,90,2.07,6.75,3.47,Solid Performer,
E092,Finance,2,33,24,4.56,42,72.73,1.75,12,3.32,Solid Performer,
E093,Education,4,51,43,3.87,37,84.31,0.86,10.75,3.26,Solid Performer,
E094,Legal,4,42,32,4.36,53,76.19,1.66,8,3.32,Solid Performer,
E095,Coding,3,38,33,4.52,50,86.84,1.52,11,3.93,Solid Performer,
E096,Coding,2,54,49,3.84,47,90.74,0.96,24.5,3.48,Solid Performer,
E097,Healthcare,3,42,39,3.56,49,92.86,1.26,13,3.31,Solid Performer,
E098,Education,3,34,24,4.54,43,70.59,1.79,8,3.2,Solid Performer,
E099,Healthcare,2,38,27,3.94,45,71.05,1.67,13.5,2.8,At Risk,
E100,Education,4,51,39,4.61,44,76.47,1.13,9.75,3.53,Solid Performer,
E101,Coding,3,50,36,3.78,51,72,1.42,12,2.72,At Risk,
E102,Healthcare,3,47,34,4.04,48,72.34,1.41,11.33,2.92,At Risk,
E103,Legal,5,46,33,4.12,52,71.74,1.58,6.6,2.96,At Risk,
E104,Education,4,47,36,4.37,43,76.6,1.19,9,3.35,Solid Performer,
E105,Healthcare,3,53,48,4.33,49,90.57,1.02,16,3.92,Solid Performer,
E106,Finance,3,30,23,4.98,44,76.67,1.91,7.67,3.82,Solid Performer,
E107,Healthcare,2,54,50,4.76,45,92.59,0.9,25,4.41,Top Performer,
E108,Healthcare,2,32,22,3.52,51,68.75,2.32,11,2.42,At Risk,
E109,Coding,2,34,32,4.99,46,94.12,1.44,16,4.7,Top Performer,
E110,Education,3,34,29,4.07,39,85.29,1.34,9.67,3.47,Solid Performer,
E111,Finance,3,30,28,4.41,40,93.33,1.43,9.33,4.12,Top Performer,
E112,Finance,3,31,23,3.67,49,74.19,2.13,7.67,2.72,At Risk,
E113,Healthcare,3,51,44,4.28,45,86.27,1.02,14.67,3.69,Solid Performer,
E114,Coding,2,54,44,4.22,48,81.48,1.09,22,3.44,Solid Performer,
E115,Education,3,43,37,3.82,40,86.05,1.08,12.33,3.29,Solid Performer,
E116,Coding,3,35,29,4.45,44,82.86,1.52,9.67,3.69,Solid Performer,
E117,Healthcare,3,54,43,4.68,51,79.63,1.19,14.33,3.73,Solid Performer,
E118,Healthcare,2,46,43,3.72,52,93.48,1.21,21.5,3.48,Solid Performer,
E119,Finance,3,46,33,4.19,41,71.74,1.24,11,3.01,At Risk,
E120,Education,4,42,29,4.37,37,69.05,1.28,7.25,3.02,At Risk,
E121,Finance,2,52,42,4.1,47,80.77,1.12,21,3.31,Solid Performer,
E122,Coding,3,33,24,4.85,44,72.73,1.83,8,3.53,Solid Performer,
E123,Legal,4,47,39,3.84,54,82.98,1.38,9.75,3.19,At Risk,
E124,Education,4,39,27,3.63,35,69.23,1.3,6.75,2.51,At Risk,
E125,Education,3,41,29,4.05,44,70.73,1.52,9.67,2.86,At Risk,
E126,Education,3,38,25,4.22,40,65.79,1.6,8.33,2.78,At Risk,
E127,Legal,6,45,30,3.92,50,66.67,1.67,5,2.61,At Risk,
E128,Finance,2,49,34,4.06,45,69.39,1.32,17,2.82,At Risk,
E129,Healthcare,3,52,42,4.58,54,80.77,1.29,14,3.7,Solid Performer,
E130,Legal,6,36,30,4.77,51,83.33,1.7,5,3.97,Solid Performer,
E131,Healthcare,3,32,24,3.66,51,75,2.13,8,2.75,At Risk,
E132,Education,4,39,31,4.76,40,79.49,1.29,7.75,3.78,Solid Performer,
E133,Healthcare,3,41,29,4.01,53,70.73,1.83,9.67,2.84,At Risk,
E134,Coding,3,32,27,4.22,45,84.38,1.67,9,3.56,Solid Performer,
E135,Healthcare,2,37,30,4.35,54,81.08,1.8,15,3.53,Solid Performer,
E136,Finance,2,35,32,4.41,47,91.43,1.47,16,4.03,Top Performer,
E137,Legal,4,35,29,3.86,55,82.86,1.9,7.25,3.2,Solid Performer,
E138,Education,4,35,25,3.74,42,71.43,1.68,6.25,2.67,At Risk,
E139,Finance,2,32,25,4.12,43,78.13,1.72,12.5,3.22,Solid Performer,
E140,Healthcare,3,40,36,4.73,45,90,1.25,12,4.26,Top Performer,
E141,Legal,5,54,46,4.3,59,85.19,1.28,9.2,3.66,Solid Performer,
E142,Legal,4,41,29,4.95,53,70.73,1.83,7.25,3.5,Solid Performer,
E143,Legal,4,49,35,3.67,59,71.43,1.69,8.75,2.62,At Risk,
E144,Education,4,40,37,3.98,37,92.5,1,9.25,3.68,Solid Performer,
E145,Finance,3,47,36,4.32,49,76.6,1.36,12,3.31,Solid Performer,
E146,Coding,3,42,35,3.63,46,83.33,1.31,11.67,3.02,At Risk,
E147,Finance,2,38,31,4.21,46,81.58,1.48,15.5,3.43,Solid Performer,
E148,Legal,5,46,41,4.62,51,89.13,1.24,8.2,4.12,Top Performer,
E149,Education,4,40,37,3.77,37,92.5,1,9.25,3.49,Solid Performer,
E150,Finance,3,51,33,4.67,48,64.71,1.45,11,3.02,At Risk,
E151,Education,4,32,22,4.72,44,68.75,2,5.5,3.25,Solid Performer,
E152,Coding,2,42,34,4.52,49,80.95,1.44,17,3.66,Solid Performer,
E153,Legal,4,35,28,4.16,50,80,1.79,7,3.33,Solid Performer,
E154,Finance,2,30,23,4.3,44,76.67,1.91,11.5,3.3,Solid Performer,
E155,Legal,6,48,37,4,52,77.08,1.41,6.17,3.08,At Risk,
E156,Healthcare,3,49,43,4.43,48,87.76,1.12,14.33,3.89,Solid Performer,
E157,Legal,4,35,30,4.56,56,85.71,1.87,7.5,3.91,Solid Performer,
E158,Finance,3,33,27,4.64,49,81.82,1.81,9,3.8,Solid Performer,
E159,Finance,3,35,28,4.07,47,80,1.68,9.33,3.26,Solid Performer,
E160,Coding,3,44,39,3.72,45,88.64,1.15,13,3.3,Solid Performer,
E161,Coding,2,31,20,4.4,45,64.52,2.25,10,2.84,At Risk,
E162,Coding,3,40,33,4.74,51,82.5,1.55,11,3.91,Solid Performer,
E163,Healthcare,3,40,27,4.38,46,67.5,1.7,9,2.96,At Risk,
E164,Finance,2,44,38,4.39,43,86.36,1.13,19,3.79,Solid Performer,
E165,Coding,2,53,34,4.48,42,64.15,1.24,17,2.87,At Risk,
E166,Coding,2,38,29,4.6,49,76.32,1.69,14.5,3.51,Solid Performer,
E167,Finance,3,40,31,3.67,44,77.5,1.42,10.33,2.84,At Risk,
E168,Healthcare,3,33,22,4.88,50,66.67,2.27,7.33,3.25,Solid Performer,
E169,Legal,6,50,38,4.62,59,76,1.55,6.33,3.51,Solid Performer,
E170,Coding,2,50,41,3.67,45,82,1.1,20.5,3.01,At Risk,
E171,Finance,3,40,37,4.2,41,92.5,1.11,12.33,3.89,Solid Performer,
E172,Legal,4,40,26,4.87,55,65,2.12,6.5,3.17,At Risk,
E173,Finance,2,49,38,4.87,40,77.55,1.05,19,3.78,Solid Performer,
E174,Education,3,40,33,3.52,39,82.5,1.18,11,2.9,At Risk,
E175,Finance,2,46,43,3.72,45,93.48,1.05,21.5,3.48,Solid Performer,
E176,Coding,2,37,29,4.39,48,78.38,1.66,14.5,3.44,Solid Performer,
E177,Legal,6,53,48,3.81,50,90.57,1.04,8,3.45,Solid Performer,
E178,Education,3,45,36,3.6,37,80,1.03,12,2.88,At Risk,
E179,Healthcare,3,51,39,4.1,50,76.47,1.28,13,3.14,At Risk,
E180,Legal,6,33,23,4.79,56,69.7,2.43,3.83,3.34,Solid Performer,
E181,Legal,5,39,35,4.29,50,89.74,1.43,7,3.85,Solid Performer,
E182,Coding,3,47,42,4.11,50,89.36,1.19,14,3.67,Solid Performer,
E183,Legal,6,37,25,4.7,52,67.57,2.08,4.17,3.18,At Risk,
E184,Legal,4,44,38,4.71,57,86.36,1.5,9.5,4.07,Top Performer,
E185,Legal,4,51,36,3.94,51,70.59,1.42,9,2.78,At Risk,
E186,Healthcare,2,30,21,3.54,47,70,2.24,10.5,2.48,At Risk,
E187,Coding,2,47,43,4.73,45,91.49,1.05,21.5,4.33,Top Performer,
E188,Legal,5,31,23,3.55,53,74.19,2.3,4.6,2.63,At Risk,
E189,Education,3,35,30,4.04,39,85.71,1.3,10,3.46,Solid Performer,
E190,Coding,2,49,46,4.67,42,93.88,0.91,23,4.38,Top Performer,
E191,Healthcare,3,53,50,4.21,45,94.34,0.9,16.67,3.97,Solid Performer,
E192,Healthcare,2,46,33,4.31,53,71.74,1.61,16.5,3.09,At Risk,
E193,Finance,3,51,45,4.98,49,88.24,1.09,15,4.39,Top Performer,
E194,Education,3,31,22,3.53,36,70.97,1.64,7.33,2.51,At Risk,
E195,Education,4,33,26,3.6,39,78.79,1.5,6.5,2.84,At Risk,
E196,Finance,3,41,29,3.52,44,70.73,1.52,9.67,2.49,At Risk,
E197,Legal,4,35,30,3.88,58,85.71,1.93,7.5,3.33,Solid Performer,
E198,Education,3,39,36,4.13,44,92.31,1.22,12,3.81,Solid Performer,
E199,Healthcare,3,51,44,3.62,48,86.27,1.09,14.67,3.12,At Risk,
E200,Legal,5,50,45,4.16,53,90,1.18,9,3.74,Solid Performer,
